"Candidate ID (As in the offer, 6 Digits starting with 2 or 3 )",Repo Link for the Miniproject (copy the HTTPS ),Is the Mini Project - your work evolution of your old/ new project,Category of Project [Applying the Guidelines and Process]
303459,https://github.com/2015pushkar/C-mini-Project-303459-LTTS.git,Application of process on new project,Game
303922,https://github.com/gsbseries/miniproject,Application of process on old project - Evolution,Application
298055,https://github.com/ManjunathBassapuri/project-mini.git,Application of process on new project,Application
314233,https://github.com/anshuman-dubey/railway-ticket-management-proj.git,Application of process on new project,Application
304294,https://github.com/KAUSI110799/STEPIN_CPROJECT1.git,Application of process on new project,Fun/Passion Project
302317,https://github.com/barathjk/miniproject.git,Application of process on new project,Application
303032,https://github.com/99Pp/stepIN.git,Application of process on new project,Fun/Passion Project
303170,https://github.com/viswak08/minproject_01.git,Application of process on new project,Application
302942,https://github.com/manish04-mu/MiniProjectLnT.git,Application of process on old project - Evolution,Application
303914,https://github.com/saikusal/ltts_stepin.git,Application of process on new project,Fun/Passion Project
303034,https://github.com/Arpita98Patnaik/Arpita_embedded_repo.git,Application of process on new project,Application
260890,https://github.com/chaitanyakiran20/MiniProject.git,Application of process on new project,Application
302594,https://github.com/Saleem9144/Mini-Project.git,Application of process on new project,Fun/Passion Project
314372,https://github.com/HimanshiWagde/miniproject.git,Application of process on new project,Application
302457,https://github.com/Shreyasi2059/Mini-Project.git,Application of process on new project,Game
298409,https://github.com/Kumararun1999/projectmain.git,Application of process on new project,Application
311182,https://github.com/Rajamchakradar/project1.git,Application of process on new project,Game
314181,https://github.com/314181/LTTS_miniproject.git,Application of process on new project,Fun/Passion Project
314182,https://github.com/314182/Mini-Project.git,Application of process on new project,Fun/Passion Project
298564,https://github.com/vanshika1103/miniltts.git,Application of process on new project,Fun/Passion Project
299176,https://github.com/shikharr03/LTTS-Mini-Project.git,Application of process on new project,Application
314151,https://github.com/parz14/project..git,Application of process on new project,Application
311068,https://github.com/Rohan-1008/SDLC-Mini-Project.git,Application of process on new project,Application
313831,https://github.com/Mandeep-Karwa/313831.git,Application of process on new project,Application
314131,https://github.com/tarunmutyala/Math-Converter.git,Application of process on new project,Application
314143,https://github.com/ManasaKarur/OnlineFoodOrderingSystem.git,Application of process on old project - Evolution,Application
314291,https://github.com/prakash283/MiniProject_C,Application of process on new project,Application
314330,https://github.com/krish921/miniproject.git,Application of process on new project,Application
313594,https://github.com/jadhav-vishal/313594.git,Application of process on old project - Evolution,Game
314679,https://github.com/9074341788/mathematics-tools.test.git,Application of process on new project,Fun/Passion Project
314189,https://github.com/The-lana/314189_miniproject.git,Application of process on new project,Application
302569,https://github.com/abhaysahu10/302569.git,Application of process on new project,Application
302587,https://github.com/rohantehalyani/302587-Mini-Project,Application of process on old project - Evolution,Application
311001,https://github.com/aashi291/fluffy-journey.git,Application of process on old project - Evolution,Application
298251,https://github.com/Swathi2709/Swathi-M.git,Application of process on new project,Game
302344,https://github.com/Chaitra15S/CHAITRA-S.git,Application of process on new project,Game
298250,https://github.com/Bhanu7259/Bhanupriya_S.git,Application of process on new project,Game
298062,https://github.com/amulyasingaraju/LTTS.git,Application of process on new project,Fun/Passion Project
303613,https://github.com/Prudhvidharreddy/Prudhvidhar-Reddy.git,Application of process on new project,Fun/Passion Project
303621,https://github.com/ayushseven/Mini-project.git,Application of process on new project,Application
304311,https://github.com/kiran1-1/Stepin_project,Application of process on new project,Game
302740,https://github.com/srinidhivnayak/Stepin-project.git,Application of process on new project,Application
303995,https://github.com/Saurav2014/Mini_Project.git,Application of process on new project,Application
303601,-https://github.com/geethikach/303601-LTTS-MINIPROJECT,Application of process on new project,Fun/Passion Project
298047,https://github.com/Raviteja-Guna/Project_Number_conversion.git,Application of process on new project,Application
313280,https://github.com/ChandippaSaiRam/project,Application of process on old project - Evolution,Fun/Passion Project
314663,https://github.com/BYSANIRAKESH/ltts-mini-project.git,Application of process on new project,Application
298287,https://github.com/vishnupriyapurantharan/MINIPROJECT-STEPIN-298287.git,Application of process on new project,Fun/Passion Project
303125,https://github.com/ayan111nath/minicproject.git,Application of process on new project,Application
298227,https://github.com/srivalli20/Miniproject---298227.git,Application of process on new project,Fun/Passion Project
303266,https://github.com/vamsikrishna-74/C-Mini-Project,Application of process on new project,Application
302316,https://github.com/Ankit623886/Ankit623886.git,Application of process on new project,Fun/Passion Project
302954,https://github.com/Sambit-12/github-slideshow.git,Application of process on new project,Application
314201,https://github.com/arti0404/MyMiniProject.git,Application of process on new project,Application
303569,https://github.com/12345292/Cricket-Board-Management-System.git,Application of process on old project - Evolution,Game
298129,https://github.com/ARPITHAJNADUVINAMATH/project.git,Application of process on new project,Application
311173,https://github.com/LoneWalker619/Miniproject,Application of process on new project,Game
315139,https://github.com/devangisingh/315139-Stepin-MiniProject.git,Application of process on new project,Application
311305,https://github.com/HARISHCH684/l-tminiproject.git,Application of process on new project,Fun/Passion Project
314123,https://github.com/Pruthvi-singam/L-T-Mini-Project.git,Application of process on new project,Fun/Passion Project
268457,https://github.com/spoortinaik99/MINIPROJECT_QUIZGAME.git,Application of process on new project,Fun/Passion Project
265156,https://github.com/pathakshubham21/LTTS_MINI_PROJECT,Application of process on new project,Fun/Passion Project
311183,https://github.com/AnanthAshrith7/newproject1.git,Application of process on new project,Fun/Passion Project
304283,https://github.com/AnkitDhiman2/TextPad_miniProject.git,Application of process on new project,Application
314170,https://github.com/rajkumar27/314170-STEPin-MiniProject.git,Application of process on new project,Game
315194,https://github.com/pnl-kiranmayee/Mini-Project.git,Application of process on old project - Evolution,Fun/Passion Project
313579,https://github.com/Ashokraj-7/313579-STEPin-MiniProject.git,Application of process on new project,Game
303561,https://github.com/ShruthiSuresh22/Mini_project_ltts.git,Application of process on old project - Evolution,Application
313257,https://github.com/Arunkumarkaligota/miniproject.git,Application of process on old project - Evolution,Application
313574,https://github.com/NagaVarmaUppalapati/STEPin-Mini-Project.git,Application of process on new project,Application
307815,https://github.com/MohdAsad666/Cproject,Application of process on new project,Fun/Passion Project
303996,https://github.com/shashank-bhati/Mini-Project.git,Application of process on new project,Application
314305,https://github.com/Rishikesh38/MiniProject.git,Application of process on new project,Fun/Passion Project
298049,https://github.com/sowjanyagopal/mini-project.git,Application of process on new project,Game
314136,https://github.com/AnandBotkule/Lttsanandminiproject.git,Application of process on new project,Application
315115,https://github.com/mandartopre/miniproject_llts.git,Application of process on new project,Application
